id,brthcan,prv,region,marstat
653,1,24,2,3
654,1,59,5,1
655,1,24,2,1
656,2,35,3,1
657,1,59,5,5
658,1,24,2,1
659,1,11,1,1
660,1,59,5,6
661,1,12,1,3
662,2,47,4,2
663,1,24,2,2
664,1,59,5,6
665,1,47,4,1
666,1,35,3,1
667,1,48,4,3
668,1,47,4,5
669,1,24,2,1
670,1,12,1,5
671,1,24,2,2
672,1,59,5,6
673,1,59,5,3
674,1,24,2,1
675,1,35,3,1
676,1,46,4,1
677,1,13,1,1
678,1,47,4,1
679,1,35,3,1
680,1,47,4,2
681,1,11,1,3
682,1,13,1,1
683,1,48,4,6
684,1,35,3,1
685,2,59,5,1
686,1,35,3,1
687,1,24,2,1
688,1,10,1,1
689,1,47,4,2
690,1,12,1,5
691,1,24,2,6
692,1,48,4,2
693,1,12,1,6
694,1,10,1,2
695,1,35,3,2
696,1,35,3,4
697,2,59,5,1
698,2,35,3,3
699,1,35,3,6
700,1,46,4,5
701,1,48,4,1
702,1,59,5,1
703,1,47,4,1
704,1,35,3,1
705,1,12,1,2
706,1,13,1,5
707,1,12,1,3
708,1,24,2,1
709,1,24,2,6
710,1,35,3,1
711,2,35,3,1
712,2,48,4,6
713,1,35,3,2
714,1,24,2,2
715,1,46,4,6
716,1,35,3,3
717,1,24,2,1
718,1,35,3,1
719,2,35,3,1
720,2,46,4,4
721,2,35,3,1
722,2,35,3,4
723,2,10,1,1
724,8,48,4,6
725,2,35,3,1
726,2,13,1,6
727,1,59,5,2
728,1,12,1,1
729,2,48,4,1
730,1,13,1,1
731,1,47,4,4
732,1,24,2,2
733,2,35,3,1
734,1,35,3,3
735,1,24,2,1
736,2,35,3,1
737,1,13,1,6
738,1,46,4,1
739,1,35,3,6
740,1,35,3,1
741,2,35,3,1
742,1,24,2,4
743,2,35,3,1
744,1,11,1,3
745,2,35,3,1
746,1,47,4,2
747,1,48,4,5
748,1,48,4,1
749,1,35,3,3
750,1,10,1,1
751,1,46,4,5
752,1,12,1,2
753,1,48,4,6
754,1,35,3,1
755,1,59,5,1
756,1,47,4,1
757,1,24,2,1
758,1,24,2,2
759,2,35,3,1
760,1,24,2,6
761,1,59,5,6
762,1,12,1,6
763,1,12,1,1
764,2,35,3,6
765,1,24,2,6
766,1,13,1,1
767,1,24,2,2
768,2,59,5,1
769,1,59,5,1
770,1,35,3,1
771,1,35,3,4
772,1,48,4,6
773,1,24,2,5
774,1,11,1,1
775,2,35,3,6
776,2,59,5,1
777,2,59,5,6
778,1,59,5,1
779,2,59,5,3
780,1,24,2,6
781,2,59,5,1
782,1,13,1,1
783,1,35,3,1
784,1,59,5,1
785,1,48,4,1
786,1,12,1,1
787,1,59,5,6
788,2,24,2,5
789,2,35,3,4
790,2,46,4,3
791,2,59,5,1
792,1,59,5,3
793,1,59,5,1
794,1,35,3,6
795,1,35,3,1
796,1,13,1,1
797,2,13,1,3
798,1,35,3,1
799,1,12,1,6
800,1,13,1,1
801,1,35,3,6
802,1,35,3,2
803,2,24,2,6
804,8,48,4,5
805,1,48,4,1
806,1,24,2,5
807,1,48,4,5
808,1,35,3,4
809,1,24,2,1
810,1,35,3,1
811,1,47,4,5
812,1,46,4,6
813,2,47,4,1
814,1,12,1,3
815,1,24,2,3
816,1,35,3,1
817,1,48,4,5
818,1,11,1,1
819,1,11,1,6
820,1,35,3,1
821,2,35,3,1
822,1,12,1,1
823,1,24,2,6
824,1,35,3,5
825,1,46,4,1
826,1,35,3,1
827,1,24,2,2
828,1,24,2,5
829,1,12,1,3
830,1,24,2,1
831,1,59,5,6
832,1,35,3,1
833,2,35,3,5
834,1,12,1,6
835,1,24,2,2
836,1,12,1,1
837,2,12,1,1
838,1,35,3,1
839,1,59,5,6
840,2,35,3,1
841,2,12,1,1
842,1,35,3,3
843,1,46,4,1
844,2,48,4,1
845,2,35,3,1
846,1,46,4,6
847,1,12,1,2
848,1,12,1,1
849,2,48,4,5
850,1,35,3,3
851,2,35,3,6
852,1,59,5,5
853,1,13,1,1
854,1,24,2,3
855,1,35,3,1
856,1,11,1,1
857,1,35,3,1
858,1,11,1,1
859,1,48,4,1
860,1,12,1,6
861,1,46,4,6
862,2,35,3,1
863,1,13,1,1
864,1,35,3,1
865,1,46,4,1
866,1,24,2,1
867,1,35,3,2
868,2,46,4,1
869,1,59,5,1
870,1,59,5,3
871,1,35,3,1
872,1,11,1,1
873,2,48,4,1
874,1,13,1,6
875,2,59,5,6
876,1,11,1,1
877,1,11,1,6
878,1,11,1,1
879,1,13,1,6
880,1,24,2,2
881,1,10,1,3
882,1,10,1,2
883,1,46,4,6
884,1,11,1,1
885,1,13,1,1
886,1,59,5,3
887,1,59,5,5
888,2,35,3,3
889,1,11,1,3
890,2,35,3,1
891,2,46,4,3
892,1,24,2,5
893,1,35,3,1
894,1,24,2,5
895,1,35,3,1
896,1,13,1,5
897,2,24,2,1
898,1,24,2,5
899,1,12,1,4
900,1,59,5,6
901,1,59,5,1
902,1,10,1,6
903,1,10,1,6
904,2,59,5,1
905,1,35,3,1
906,1,35,3,1
907,1,24,2,6
908,1,35,3,1
909,1,59,5,1
910,2,46,4,1
911,1,11,1,1
912,1,10,1,1
913,1,48,4,6
914,1,24,2,3
915,2,35,3,5
916,2,35,3,6
917,1,59,5,6
918,2,59,5,6
919,1,48,4,1
920,1,59,5,1
921,1,35,3,5
922,2,59,5,1
923,1,59,5,6
924,1,12,1,1
925,1,35,3,1
926,1,48,4,6
927,1,10,1,1
928,2,35,3,1
929,1,24,2,2
930,2,12,1,1
931,1,13,1,5
932,1,35,3,1
933,2,35,3,1
934,2,46,4,1
935,1,59,5,4
936,1,59,5,1
937,1,10,1,4
938,1,24,2,1
939,1,24,2,1
